dt,weather,visibility,pop,dt_txt,main.temp,main.feels_like,main.temp_min,main.temp_max,main.pressure,main.sea_level,main.grnd_level,main.humidity,main.temp_kf,clouds.all,wind.speed,wind.deg,wind.gust,sys.pod,rain.3h
1712826000,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",10000.0,0.0,2024-04-11 09:00:00,6.38,2.36,4.25,6.38,1015,1015,1013,70,2.13,33,6.78,237,12.58,d,
1712836800,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",10000.0,0.0,2024-04-11 12:00:00,4.86,0.46,3.57,4.86,1014,1014,1011,78,1.29,67,6.66,220,15.31,d,
1712847600,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",1322.0,1.0,2024-04-11 15:00:00,2.78,-1.93,2.78,2.78,1010,1010,1007,97,0.0,100,6.02,199,14.65,d,1.48
1712858400,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",1735.0,1.0,2024-04-11 18:00:00,3.4,-1.16,3.4,3.4,1007,1007,1004,97,0.0,100,6.05,228,16.64,n,1.86
1712869200,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",10000.0,1.0,2024-04-11 21:00:00,4.77,0.38,4.77,4.77,1007,1007,1005,96,0.0,100,6.56,266,14.61,n,2.54
1712880000,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",10000.0,0.8,2024-04-12 00:00:00,3.56,-0.49,3.56,3.56,1010,1010,1008,93,0.0,92,5.06,292,13.82,n,
1712890800,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",10000.0,0.2,2024-04-12 03:00:00,3.33,0.28,3.33,3.33,1012,1012,1009,94,0.0,36,3.29,275,10.96,n,0.24
1712901600,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",10000.0,0.0,2024-04-12 06:00:00,5.83,2.26,5.83,5.83,1013,1013,1010,82,0.0,31,5.25,283,13.4,d,
1712912400,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",10000.0,0.0,2024-04-12 09:00:00,8.45,5.28,8.45,8.45,1014,1014,1012,70,0.0,10,5.98,297,11.44,d,
1712923200,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",10000.0,0.0,2024-04-12 12:00:00,8.98,6.51,8.98,8.98,1015,1015,1012,66,0.0,53,4.53,288,7.95,d,
1712934000,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",10000.0,0.0,2024-04-12 15:00:00,5.76,3.25,5.76,5.76,1014,1014,1012,76,0.0,100,3.25,248,5.73,d,
1712944800,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",10000.0,0.0,2024-04-12 18:00:00,4.37,2.3,4.37,4.37,1013,1013,1011,85,0.0,100,2.34,190,6.29,n,
1712955600,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",10000.0,0.0,2024-04-12 21:00:00,3.26,0.95,3.26,3.26,1012,1012,1009,97,0.0,100,2.38,198,5.01,n,
1712966400,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",354.0,0.0,2024-04-13 00:00:00,3.48,2.28,3.48,3.48,1012,1012,1009,99,0.0,96,1.45,234,2.78,n,
1712977200,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",137.0,0.2,2024-04-13 03:00:00,3.7,1.92,3.7,3.7,1011,1011,1009,99,0.0,100,1.94,148,2.63,n,0.1
1712988000,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",67.0,0.0,2024-04-13 06:00:00,3.74,0.89,3.74,3.74,1011,1011,1009,98,0.0,100,3.14,184,7.47,d,
1712998800,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",404.0,0.0,2024-04-13 09:00:00,3.71,0.26,3.71,3.71,1011,1011,1008,95,0.0,100,4.02,193,7.42,d,
1713009600,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",27.0,0.0,2024-04-13 12:00:00,3.98,0.27,3.98,3.98,1009,1009,1006,95,0.0,100,4.59,184,8.31,d,
1713020400,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",468.0,0.0,2024-04-13 15:00:00,4.18,0.42,4.18,4.18,1006,1006,1003,96,0.0,100,4.79,169,9.45,d,
1713031200,"[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10n'}]",276.0,1.0,2024-04-13 18:00:00,3.96,0.36,3.96,3.96,1004,1004,1001,98,0.0,100,4.39,223,11.43,n,5.35
1713042000,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",10000.0,0.0,2024-04-13 21:00:00,4.4,1.53,4.4,4.4,1004,1004,1001,96,0.0,100,3.35,253,11.8,n,
1713052800,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",10000.0,0.0,2024-04-14 00:00:00,3.57,0.55,3.57,3.57,1004,1004,1001,97,0.0,92,3.32,257,10.06,n,
1713063600,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",,0.0,2024-04-14 03:00:00,2.57,0.77,2.57,2.57,1002,1002,999,98,0.0,100,1.8,195,1.68,n,
1713074400,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",10000.0,0.0,2024-04-14 06:00:00,3.58,0.66,3.58,3.58,1000,1000,997,96,0.0,100,3.18,179,5.54,d,
1713085200,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",10000.0,0.0,2024-04-14 09:00:00,5.63,2.21,5.63,5.63,996,996,994,85,0.0,100,4.81,165,9.4,d,
1713096000,"[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10d'}]",6571.0,1.0,2024-04-14 12:00:00,5.15,0.86,5.15,5.15,991,991,988,96,0.0,99,6.57,171,11.64,d,3.66
1713106800,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",10000.0,1.0,2024-04-14 15:00:00,3.38,-1.04,3.38,3.38,989,989,987,90,0.0,100,5.72,206,14.24,d,2.45
1713117600,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",10000.0,1.0,2024-04-14 18:00:00,3.26,-1.45,3.26,3.26,988,988,985,95,0.0,100,6.32,211,12.43,n,0.32
1713128400,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",10000.0,1.0,2024-04-14 21:00:00,3.57,-1.5,3.57,3.57,987,987,984,86,0.0,100,7.46,228,13.36,n,0.68
1713139200,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",1719.0,1.0,2024-04-15 00:00:00,2.28,-1.81,2.28,2.28,986,986,983,97,0.0,100,4.54,220,8.65,n,0.25
1713150000,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",674.0,0.0,2024-04-15 03:00:00,2.77,2.77,2.77,2.77,986,986,984,98,0.0,100,1.11,352,2.36,n,
1713160800,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",10000.0,0.25,2024-04-15 06:00:00,3.79,1.01,3.79,3.79,989,989,986,94,0.0,100,3.05,331,6.95,d,0.29
1713171600,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",10000.0,0.2,2024-04-15 09:00:00,5.22,1.65,5.22,5.22,992,992,989,83,0.0,100,4.91,304,6.39,d,0.1
1713182400,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",10000.0,0.0,2024-04-15 12:00:00,3.61,-0.11,3.61,3.61,995,995,992,94,0.0,100,4.45,313,7.04,d,
1713193200,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",10000.0,0.6,2024-04-15 15:00:00,3.08,-0.95,3.08,3.08,997,997,994,91,0.0,100,4.79,307,8.87,d,0.36
1713204000,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",10000.0,0.2,2024-04-15 18:00:00,2.91,-0.85,2.91,2.91,999,999,996,90,0.0,100,4.23,306,8.04,n,0.1
1713214800,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",10000.0,0.0,2024-04-15 21:00:00,2.22,-1.22,2.22,2.22,999,999,996,89,0.0,100,3.5,306,6.75,n,
1713225600,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",10000.0,0.0,2024-04-16 00:00:00,2.2,-0.68,2.2,2.2,999,999,996,89,0.0,100,2.79,299,4.99,n,
1713236400,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",10000.0,0.0,2024-04-16 03:00:00,2.06,0.11,2.06,2.06,999,999,996,92,0.0,100,1.86,296,3.26,n,
1713247200,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",10000.0,0.0,2024-04-16 06:00:00,2.84,1.21,2.84,2.84,999,999,996,87,0.0,100,1.7,328,2.53,d,
